time,actual_low,var_low,garch_low,pred_low,actual_close,var_close,garch_close,pred_close,actual_high,var_high,garch_high,pred_high,actual_class,pred_class,actual_class_name,pred_class_name
2025-04-04 10:30:00+00:00,5287.25,5282.52157,5298.114855,5290.318213,5293.5,5290.295607,5296.078582,5293.187095,5320,5357.0092,5361.620672,5359.314936,1,1,Flat,Flat
2025-04-04 10:45:00+00:00,5261.25,5282.85093,5289.842545,5286.346738,5273.5,5292.639699,5297.203231,5294.921465,5296.75,5319.820518,5324.696481,5322.2585,0,0,Down,Down
2025-04-04 11:00:00+00:00,5266.75,5258.113563,5264.811934,5261.462749,5270.75,5277.333743,5274.869546,5276.101645,5291.75,5304.082862,5301.131325,5302.607093,1,1,Flat,Flat
2025-04-04 11:15:00+00:00,5224,5252.494791,5265.413985,5258.954388,5228,5269.922098,5274.78601,5272.354054,5280.5,5265.987935,5293.327995,5279.657965,0,0,Down,Down
2025-04-04 11:30:00+00:00,5210.5,5229.266025,5228.238448,5228.752237,5231.5,5227.306694,5230.589101,5228.947898,5262,5278.846653,5281.093737,5279.970195,1,1,Flat,Flat
2025-04-04 11:45:00+00:00,5231,5241.962882,5215.761413,5228.862148,5284.25,5228.467121,5228.898659,5228.68289,5287.5,5282.635594,5265.258356,5273.946975,2,2,Up,Up
2025-04-04 12:00:00+00:00,5256.25,5234.875454,5230.596227,5232.735841,5280.5,5285.798437,5280.880508,5283.339473,5287,5302.024601,5286.793529,5294.409065,1,1,Flat,Flat
2025-04-04 12:15:00+00:00,5266,5256.701647,5252.455643,5254.578645,5290,5280.051437,5278.053198,5279.052318,5295,5295.702197,5285.798607,5290.750402,2,2,Up,Up
2025-04-04 12:30:00+00:00,5262.5,5269.838886,5263.146473,5266.49268,5298.75,5289.976751,5288.800286,5289.388518,5313,5294.898637,5295.187325,5295.042981,2,2,Up,Up
2025-04-04 12:45:00+00:00,5285.5,5259.374334,5263.541966,5261.45815,5303.5,5299.786659,5297.39279,5298.589725,5311.5,5315.981934,5311.066354,5313.524144,1,1,Flat,Flat
2025-04-04 13:00:00+00:00,5298,5269.179584,5283.512993,5276.346289,5298.5,5303.181333,5303.177747,5303.17954,5322,5302.593926,5310.948644,5306.771285,1,1,Flat,Flat
2025-04-04 13:15:00+00:00,5282.5,5293.94154,5294.346132,5294.143836,5292.5,5299.44275,5299.066361,5299.254556,5305,5324.861076,5320.734938,5322.798007,0,0,Down,Down
2025-04-04 13:30:00+00:00,5246,5274.716818,5281.75808,5278.237449,5257.25,5291.055404,5295.67315,5293.364277,5314.5,5276.999811,5306.107484,5291.553647,0,0,Down,Down
2025-04-04 13:45:00+00:00,5250.75,5264.432576,5251.690505,5258.061541,5287,5256.38757,5257.496506,5256.942038,5300.25,5324.88517,5314.467469,5319.676319,2,2,Up,Up
2025-04-04 14:00:00+00:00,5233.75,5233.530701,5251.474009,5242.502355,5239,5286.557125,5289.96189,5288.259508,5288,5278.509111,5300.374356,5289.441733,0,0,Down,Down
2025-04-04 14:15:00+00:00,5216,5217.670142,5234.610011,5226.140076,5216.75,5240.838623,5242.700877,5241.76975,5249.25,5285.35754,5288.522733,5286.940136,0,0,Down,Down
2025-04-04 14:30:00+00:00,5197.75,5201.155151,5218.231327,5209.693239,5200,5217.009685,5221.221203,5219.115444,5229.25,5242.054748,5252.403723,5247.229236,0,0,Down,Down
2025-04-04 14:45:00+00:00,5153.5,5227.109502,5198.711944,5212.910723,5208.5,5198.010533,5201.227085,5199.618809,5218,5242.259017,5233.062339,5237.660678,2,2,Up,Up
2025-04-04 15:00:00+00:00,5201.5,5185.438575,5162.536399,5173.987487,5262.75,5208.282232,5204.383314,5206.332773,5274.25,5231.726616,5222.445802,5227.086209,2,2,Up,Up
2025-04-04 15:15:00+00:00,5215,5171.554041,5198.942567,5185.248304,5217.25,5262.115328,5262.192389,5262.153858,5280.75,5241.352617,5270.824975,5256.088796,0,0,Down,Down
2025-04-04 15:30:00+00:00,5192,5207.015469,5209.254924,5208.135197,5212.75,5216.699393,5218.468443,5217.583918,5232.75,5287.126072,5274.649182,5280.887627,1,1,Flat,Flat
2025-04-04 15:45:00+00:00,5200.25,5173.362425,5194.482502,5183.922464,5203.25,5214.781595,5215.573822,5215.177708,5237.75,5227.848202,5236.517615,5232.182909,0,0,Down,Down
2025-04-04 16:00:00+00:00,5202,5206.592167,5200.689374,5203.64077,5220.25,5204.503724,5202.688954,5203.596339,5228.5,5254.386673,5240.381807,5247.38424,2,2,Up,Up
2025-04-04 16:15:00+00:00,5172,5191.007713,5199.765771,5195.386742,5177.5,5221.54808,5222.782056,5222.165068,5224.5,5209.957154,5228.864037,5219.410596,0,0,Down,Down
2025-04-04 16:30:00+00:00,5161.75,5168.883427,5175.131425,5172.007426,5174.75,5176.547646,5179.808822,5178.178234,5218,5213.655376,5225.316805,5219.48609,1,1,Flat,Flat
2025-04-04 16:45:00+00:00,5164.5,5157.999293,5164.961588,5161.48044,5174,5174.427516,5176.689201,5175.558359,5185,5224.744364,5217.673508,5221.208936,1,1,Flat,Flat
2025-04-04 17:00:00+00:00,5147.25,5155.893546,5163.885511,5159.889529,5150.5,5174.893098,5175.93101,5175.412054,5189.75,5176.565121,5188.398863,5182.481992,0,0,Down,Down
2025-04-04 17:15:00+00:00,5136,5159.302306,5148.6652,5153.983753,5164.75,5150.793627,5150.898829,5150.846228,5174,5202.935628,5191.155051,5197.045339,2,2,Up,Up
